Depth,PID,Process,Process Name,Parent,Parent Name,Event Count,Alert Severity,Alert Score,Detection Types,Suspicious
3,12756,C:\Users\DELL\office_portable_x3.exe,office_portable_x3.exe,C:\Windows\System32\cmd.exe,cmd.exe,60,CRITICAL,100,EDR Rule Detection | Malware Staging | Sigma Match,YES
3,6972,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe,C:\Windows\System32\cmd.exe,cmd.exe,28,CRITICAL,100,Defense Evasion | EDR Rule Detection | LOLBin Abuse | PowerShell Payload | Sigma Match | Suspicious User-Agent / Tool,YES
3,2204,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe,C:\Windows\System32\cmd.exe,cmd.exe,28,CRITICAL,100,Defense Evasion | EDR Rule Detection | LOLBin Abuse | PowerShell Payload | Sigma Match | Suspicious User-Agent / Tool,YES
3,33860,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe,C:\Windows\System32\cmd.exe,cmd.exe,28,CRITICAL,100,Defense Evasion | EDR Rule Detection | LOLBin Abuse | PowerShell Payload | Sigma Match | Suspicious User-Agent / Tool,YES
3,10492,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe,C:\Windows\System32\cmd.exe,cmd.exe,28,CRITICAL,100,Defense Evasion | EDR Rule Detection | LOLBin Abuse | PowerShell Payload | Sigma Match | Suspicious User-Agent / Tool,YES
3,11540,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe,C:\Windows\System32\cmd.exe,cmd.exe,28,CRITICAL,100,Defense Evasion | EDR Rule Detection | LOLBin Abuse | PowerShell Payload | Sigma Match | Suspicious User-Agent / Tool,YES
3,15060,C:\Windows\Temp\{78D4DDB5-69A4-4E33-8D81-C18D0FEE1B6E}\.be\VC_redist.x64.exe,vc_redist.x64.exe,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,vc_redist.x64.exe,5,LOW,20,Malware Staging,YES
3,20236,C:\Windows\Temp\{4D6017BE-87C2-47B2-8E1B-AA3353D660BA}\.be\VC_redist.x86.exe,vc_redist.x86.exe,C:\Windows\Temp\{27E1843A-2F51-4486-B11C-361AB8D51008}\.cr\vc_redist.x86.exe,vc_redist.x86.exe,5,LOW,20,Malware Staging,YES
3,31224,C:\Windows\System32\conhost.exe,conhost.exe,C:\Users\Public\Pictures\kelotopu\uusd.exe,uusd.exe,1,,0,,
3,20928,C:\Windows\System32\conhost.exe,conhost.exe,C:\Windows\System32\wevtutil.exe,wevtutil.exe,2,,0,,
