IOC Type,IOC Value,Source,Context,Timestamp,Risk,TI Verdict,TI Tags,TI Confidence
File Path,C:\ProgramData\Microsoft\Windows\Caches\{E4306607-770F-451B-9FE4-27ACF8C60DBD}.2.ver0x0000000000000005.db,file.path,Process: C:\Program Files\Microsoft Office\root\Integration\Integrato,"Jun 1, 2026 @ 14:21:20.497",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\Windows\Caches\{E4306607-770F-451B-9FE4-27ACF8C60DBD}.2.ver0x0000000000000006.db,file.path,Process: C:\Program Files\Microsoft Office\root\Integration\Integrato,"Jun 1, 2026 @ 14:21:20.497",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\Windows\Caches\{6AF0698E-D558-4F6E-9B3C-3716689AF493}.2.ver0x000000000000000d.db,file.path,Process: C:\Program Files\Microsoft Office\root\Integration\Integrato,"Jun 1, 2026 @ 14:21:20.571",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\Windows\Caches\{6AF0698E-D558-4F6E-9B3C-3716689AF493}.2.ver0x000000000000000e.db,file.path,Process: C:\Program Files\Microsoft Office\root\Integration\Integrato,"Jun 1, 2026 @ 14:21:20.572",Medium,Unknown,,0
File Path,C:\Windows\TEMP\DESKTOP-MPJ4I7R-20260601-1421a.log,file.path,Process: C:\Program Files\Microsoft Office\root\Integration\Integrato,"Jun 1, 2026 @ 14:21:21.329",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\SecStore\SecStore.db-shm,file.path,Process: C:\Windows\System32\SearchIndexer.exe,"Jun 1, 2026 @ 14:21:22.161",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\SecStore\SecStore.db-wal,file.path,Process: C:\Windows\System32\SearchIndexer.exe,"Jun 1, 2026 @ 14:21:22.163",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows-gather.db-shm,file.path,Process: C:\Windows\System32\SearchIndexer.exe,"Jun 1, 2026 @ 14:21:22.270",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows-gather.db-wal,file.path,Process: C:\Windows\System32\SearchIndexer.exe,"Jun 1, 2026 @ 14:21:22.271",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows.db-shm,file.path,Process: C:\Windows\System32\SearchIndexer.exe,"Jun 1, 2026 @ 14:21:22.743",Medium,Unknown,,0
